John Spellar
John Stanley
John Stevenson
John Thurso
John Whittingdale
John Woodcock
Jon Cruddas
Jon Trickett
Jonathan Ashworth
Jonathan Djanogly
Jonathan Edwards
Jonathan Evans
Jonathan Lord
Jonathan Reynolds
Julian Brazier
Julian Huppert
Julian Lewis
Julian Smith
Julian Sturdy
Julie Elliott
Julie Hilling
Justin Tomlinson
Justine Greening
Karen Bradley
Karen Buck
Karen Lumley
Karl McCartney
Karl Turner
Kate Green
Kate Hoey
Katy Clark
Keith Simpson
Keith Vaz
Kelvin Hopkins
Ken Clarke
Kerry McCarthy
Kevan Jones
Kevin Barron
Kevin Brennan
Khalid Mahmood
Kris Hopkins
Kwasi Kwarteng
Laura Sandys
Laurence Robertson
Lee Scott
Liam Byrne
Liam Fox
Lilian Greenwood
Linda Riordan
Lindsay Hoyle
Lindsay Roy
Lisa Nandy
Liz Kendall
Lorely Burt
Lorraine Fullbrook
Louise Ellman
Louise Mensch
Luciana Berger
Lucy Powell
Lyn Brown
Lynne Featherstone
Madeleine Moon
Malcolm Bruce
Malcolm Rifkind
Malcolm Wicks
Marcus Jones
Margaret Beckett
Margaret Curran
Margaret Hodge
Margaret Ritchie
Margot James
Maria Eagle
Maria Miller
Mark Durkan
Mark Field
Mark Francois
Mark Garnier
Mark Harper
Mark Hendrick
Mark Hoban
Mark Hunter
Mark Lancaster
Mark Lazarowicz
Mark Menzies
Mark Pawsey
Mark Prisk
Mark Pritchard
Mark Reckless
Mark Simmonds
Mark Spencer
Mark Tami
Mark Williams
Martin Caton
Martin Horwood
Martin McGuinness
Martin Vickers
Mary Creagh
Mary Glindon
Mary MacLeod
Matthew Hancock
Matthew Offord
Meg Hillier
Meg Munn
Mel Stride
Menzies Campbell
Michael Connarty
Michael Dugher
Michael Ellis
Michael Fabricant
Michael Fallon
Michael Gove
Michael McCann
Michael Meacher
Michael Moore
Michelle Gildernew
Mike Crockart
Mike Freer
Mike Gapes
Mike Hancock
Mike Penning
Mike Thornton
Mike Weatherley
Mike Weir
Mike Wood
Nadhim Zahawi
Nadine Dorries
Naomi Long
Natascha Engel
Neil Carmichael
Neil Parish
Nia Griffith
Nicholas Brown
Nicholas Soames
Nick Boles
Nick Clegg
Nick Dakin
Nick de Bois
Nick Gibb
Nick Harvey
Nick Herbert
Nick Hurd
Nick Raynsford
Nick Smith
Nicky Morgan
Nicola Blackwood
Nigel Adams
Nigel Dodds
Nigel Evans
Nigel Mills
Norman Baker
Norman Lamb
Oliver Colvile
Oliver Heald
Oliver Letwin
Owen Paterson
Owen Smith
Pamela Nash
Pat Doherty
Pat Glass
Pat McFadden
Patrick McLoughlin
Patrick Mercer
Paul Beresford
Paul Blomfield
Paul Burstow
Paul Farrelly
Paul Flynn
Paul Goggins
Paul Maskey
Paul Maynard
Paul Murphy
Paul Uppal
Pauline Latham
Penny Mordaunt
Pete Wishart
Peter Aldous
Peter Bone
Peter Bottomley
Peter Hain
Peter Lilley
Peter Luff
Peter Tapsell
Phil Wilson
Philip Davies
Philip Dunne
Philip Hammond
Philip Hollobone
Phillip Lee
Priti Patel
Rachel Reeves
Rebecca Harris
Rehman Chishti
Richard Bacon
Richard Benyon
Richard Burden
Richard Drax
Richard Fuller
Richard Graham
Richard Harrington
Richard Ottaway
Richard Shepherd
Rob Wilson
Robert Buckland
Robert Flello
Robert Goodwill
Robert Halfon
Robert Smith
Robert Syms
Robert Walter
Roberta Blackman-Woods
Robin Walker
Roger Gale
Roger Godsiff
Roger Williams
Ronnie Campbell
Rory Stewart
Rosie Cooper
Rosie Winterton
Rushanara Ali
Russell Brown
Sadiq Khan
Sajid Javid
Sam Gyimah
Sammy Wilson
Sandra Osborne
Sarah Champion
Sarah Newton
Sarah Teather
Sarah Wollaston
Seema Malhotra
Shabana Mahmood
Shailesh Vara
Sharon Hodgson
Shaun Woodward
Sheila Gilmore
Sheryll Murray
Siân James
Simon Burns
Simon Danczuk
Simon Hart
Simon Hughes
Simon Kirby
